Age,Cabin,Embarked,Fare,Name,Parch,PassengerId,Pclass,Sex,SibSp,Survived,Ticket,Age_meanimp,Age_medianimp,Title,Surname,Age_scal,Fare_scaled,Family_size,IsAlone
5.0,,1,3.0,"Laroche, Miss. Simonne Marie Anne Andree",2,44,2,0,1,1.0,42,3.0,3.0,1,Laroche,-2.0544611093322205,0.16043767295926398,4,0
6.0,,2,8.0,"Devaney, Miss. Margaret Delia",0,45,3,0,0,1.0,43,19.0,19.0,1,Devaney,-0.8141808578020261,-0.4911259646083181,1,1
2.0,,0,2.0,"Rogers, Mr. William John",0,46,3,1,0,0.0,44,28.0,28.0,0,Rogers,-0.11652321631629182,-0.48782367768557205,1,1
2.0,,2,7.0,"Lennon, Mr. Denis",0,47,3,1,1,0.0,45,28.0,28.0,0,Lennon,-0.11652321631629182,-0.3437836450482282,2,0
2.0,,2,11.0,"O'Driscoll, Miss. Bridget",0,48,3,0,0,1.0,46,28.0,28.0,1,O'Driscoll,-0.11652321631629182,-0.49362394745620336,1,1
2.0,,1,4.0,"Samaan, Mr. Youssef",0,49,3,1,2,0.0,47,28.0,28.0,0,Samaan,-0.11652321631629182,-0.22431355515927853,3,0
6.0,,0,7.0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",0,50,3,0,1,0.0,48,18.0,18.0,1,Arnold-Franchi,-0.8916983735226632,-0.29931491014005496,2,0
5.0,,0,3.0,"Panula, Master. Juha Niilo",1,51,3,1,4,0.0,49,7.0,7.0,2,Panula,-1.744391046449672,0.12386310520891992,6,0
0.0,,0,8.0,"Nosworthy, Mr. Richard Cater",0,52,3,1,0,0.0,50,21.0,21.0,0,Nosworthy,-0.6591458263607518,-0.4926572358277648,1,1
7.0,D33,1,1.0,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",0,53,1,0,1,1.0,51,49.0,49.0,1,Harper,1.5113446138170883,0.8400359477515641,2,0
8.0,,0,4.0,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",0,54,2,0,1,1.0,52,29.0,29.0,1,Faunthorpe,-0.03900570059565468,-0.14077420307613292,2,0
4.0,B30,1,1.0,"Ostby, Mr. Engelhart Cornelius",1,55,1,1,0,0.0,53,65.0,65.0,0,Ostby,2.7516248653472823,0.554856017362192,2,0
2.0,C52,0,3.0,"Woolner, Mr. Hugh",0,56,1,1,0,1.0,54,28.0,28.0,0,Woolner,-0.11652321631629182,0.042901006327191425,1,1
0.0,,0,5.0,"Rugg, Miss. Emily",0,57,2,0,0,1.0,55,21.0,21.0,1,Rugg,-0.6591458263607518,-0.44045480789208313,1,1
8.0,,1,0.0,"Novel, Mr. Mansouer",0,58,3,1,0,0.0,56,28.5,28.5,0,Novel,-0.07776445845597325,-0.5036932157780193,1,1
5.0,,0,6.0,"West, Miss. Constance Mirium",2,59,2,0,1,1.0,57,5.0,5.0,1,West,-1.8994260778909462,-0.10693929608078369,4,0
5.0,,0,3.0,"Goodwin, Master. William Frederick",2,60,3,1,5,0.0,58,11.0,11.0,2,Goodwin,-1.4343209835671233,0.2633112576111806,8,0
0.0,,1,0.0,"Sirayanian, Mr. Orsen",0,61,3,1,0,0.0,59,22.0,22.0,0,Sirayanian,-0.5816283106401147,-0.5036932157780193,1,1
1.0,B28,3,1.0,"Icard, Miss. Amelie",0,62,1,0,0,1.0,60,38.0,38.0,1,Icard,0.6586519408900796,0.9032743556375001,1,1
7.0,C83,0,10.0,"Harris, Mr. Henry Birkhardt",0,63,1,1,1,0.0,61,45.0,45.0,0,Harris,1.2012745509345397,0.9704608138139792,2,0
5.0,,0,6.0,"Skoog, Master. Harald",2,64,3,1,3,0.0,62,4.0,4.0,2,Skoog,-1.9769435936115833,-0.10403916119546806,6,0
2.0,,1,6.0,"Stewart, Mr. Albert A",0,65,1,1,0,0.0,63,28.0,28.0,0,Stewart,-0.11652321631629182,-0.10750385567179178,1,1
2.0,,1,7.0,"Moubarek, Master. Gerios",1,66,3,1,1,1.0,64,28.0,28.0,2,Moubarek,-0.11652321631629182,-0.34869840696720983,3,0
8.0,F33,0,5.0,"Nye, Mrs. (Elizabeth Ramell)",0,67,2,0,0,1.0,65,29.0,29.0,1,Nye,-0.03900570059565468,-0.44045480789208313,1,1
6.0,,0,2.0,"Crease, Mr. Ernest James",0,68,3,1,0,0.0,66,19.0,19.0,0,Crease,-0.8141808578020261,-0.48572978029837416,1,1
6.0,,0,2.0,"Andersson, Miss. Erna Alexandra",2,69,3,0,4,1.0,67,17.0,17.0,1,Andersson,-0.9692158892433004,-0.4902404567566684,7,0
2.0,,0,2.0,"Kink, Mr. Vincenz",0,70,3,1,2,0.0,68,26.0,26.0,0,Kink,-0.2715582477575661,-0.4759814602371998,3,0
3.0,,0,5.0,"Jenkin, Mr. Stephen Curnow",0,71,2,1,0,0.0,69,32.0,32.0,0,Jenkin,0.19354684656625676,-0.44045480789208313,1,1
6.0,,0,3.0,"Goodwin, Miss. Lillian Amy",2,72,3,0,5,0.0,58,16.0,16.0,1,Goodwin,-1.0467334049639376,0.2633112576111806,8,0
0.0,,0,1.0,"Hood, Mr. Ambrose Jr",0,73,2,1,0,0.0,70,21.0,21.0,0,Hood,-0.6591458263607518,0.7776018439404888,1,1
2.0,,1,9.0,"Chronopoulos, Mr. Apostolos",0,74,3,1,1,0.0,71,26.0,26.0,0,Chronopoulos,-0.2715582477575661,-0.3640033854686489,2,0
3.0,,0,1.0,"Bing, Mr. Lee",0,75,3,1,0,1.0,72,32.0,32.0,0,Bing,0.19354684656625676,0.4488386864945933,1,1
9.0,F G73,0,11.0,"Moen, Mr. Sigurd Hansen",0,76,3,1,0,0.0,73,25.0,25.0,0,Moen,-0.34907576347820324,-0.4955573707130805,1,1
2.0,,0,8.0,"Staneff, Mr. Ivan",0,77,3,1,0,0.0,74,28.0,28.0,0,Staneff,-0.11652321631629182,-0.4908050163476765,1,1
2.0,,0,2.0,"Moutal, Mr. Rahamin Haim",0,78,3,1,0,0.0,75,28.0,28.0,0,Moutal,-0.11652321631629182,-0.48782367768557205,1,1
5.0,,0,6.0,"Caldwell, Master. Alden Gates",2,79,2,1,0,1.0,76,0.83,0.83,2,Caldwell,-2.2226741184460033,-0.08277150536981996,3,0
8.0,,0,9.0,"Dowdell, Miss. Elizabeth",0,80,3,0,0,1.0,77,30.0,30.0,1,Dowdell,0.03851181512498246,-0.40226969856876044,1,1
0.0,,0,5.0,"Waelens, Mr. Achille",0,81,3,1,0,0.0,78,22.0,22.0,0,Waelens,-0.5816283106401147,-0.4694561567452396,1,1
8.0,,0,5.0,"Sheerlinck, Mr. Jan Baptist",0,82,3,1,0,1.0,79,29.0,29.0,0,Sheerlinck,-0.03900570059565468,-0.4597890404608541,1,1
2.0,,2,8.0,"McDermott, Miss. Brigdet Delia",0,83,3,0,0,1.0,80,28.0,28.0,1,McDermott,-0.11652321631629182,-0.4928989137348744,1,1
2.0,,0,3.0,"Carrau, Mr. Francisco M",0,84,1,1,0,0.0,81,28.0,28.0,0,Carrau,-0.11652321631629182,0.26717810412493487,1,1
6.0,,0,5.0,"Ilett, Miss. Bertha",0,85,2,0,0,1.0,82,17.0,17.0,1,Ilett,-0.9692158892433004,-0.44045480789208313,1,1
3.0,,0,7.0,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",0,86,3,0,3,1.0,83,33.0,33.0,1,Backstrom,0.2710643622868939,-0.33701666364915833,4,0
6.0,,0,3.0,"Ford, Mr. William Neal",3,87,3,1,1,0.0,84,16.0,16.0,0,Ford,-1.0467334049639376,0.02114999468732407,5,0
2.0,,0,2.0,"Slocovski, Mr. Selman Francis",0,88,3,1,0,0.0,85,28.0,28.0,0,Slocovski,-0.11652321631629182,-0.48782367768557205,1,1
9.0,C23 C25 C27,0,10.0,"Fortune, Miss. Mabel Helen",2,89,1,0,3,1.0,26,23.0,23.0,1,Fortune,-0.5041107949194775,4.44143891572259,6,0
9.0,,0,2.0,"Celotti, Mr. Francesco",0,90,3,1,0,0.0,86,24.0,24.0,0,Celotti,-0.4265932791988404,-0.48782367768557205,1,1
8.0,,0,2.0,"Christmann, Mr. Emil",0,91,3,1,0,0.0,87,29.0,29.0,0,Christmann,-0.03900570059565468,-0.48782367768557205,1,1
0.0,,0,8.0,"Andreasson, Mr. Paul Edvin",0,92,3,1,0,0.0,88,20.0,20.0,0,Andreasson,-0.736663342081389,-0.4916093204225374,1,1
7.0,E31,0,1.0,"Chaffee, Mr. Herbert Fuller",0,93,1,1,1,0.0,89,46.0,46.0,0,Chaffee,1.2787920666551769,0.5393074275303864,2,0
2.0,,0,7.0,"Dean, Mr. Bertram Frank",2,94,3,1,1,0.0,90,26.0,26.0,0,Dean,-0.2715582477575661,-0.2456624147617155,4,0
4.0,,0,0.0,"Coxon, Mr. Daniel",0,95,3,1,0,0.0,91,59.0,59.0,0,Coxon,2.2865197710234595,-0.5032910637405889,1,1
2.0,,0,2.0,"Shorney, Mr. Charles Joseph",0,96,3,1,0,0.0,92,28.0,28.0,0,Shorney,-0.11652321631629182,-0.48782367768557205,1,1
4.0,A5,1,3.0,"Goldschmidt, Mr. George B",0,97,1,1,0,0.0,93,71.0,71.0,0,Goldschmidt,3.216729959671105,0.02654811242052499,1,1
9.0,D10 D12,1,1.0,"Greenfield, Mr. William Bertram",1,98,1,1,0,1.0,94,23.0,23.0,0,Greenfield,-0.5041107949194775,0.5815198574977841,2,0
3.0,,0,4.0,"Doling, Mrs. John T (Ada Julia Bone)",1,99,2,0,0,1.0,95,34.0,34.0,1,Doling,0.34858187800753104,-0.19877690078244586,2,0
3.0,,0,4.0,"Kantor, Mr. Sinai",0,100,2,1,1,0.0,96,34.0,34.0,0,Kantor,0.34858187800753104,-0.14077420307613292,2,0
2.0,,0,8.0,"Petranec, Miss. Matilda",0,101,3,0,0,0.0,97,28.0,28.0,1,Petranec,-0.11652321631629182,-0.4908050163476765,1,1
2.0,,0,8.0,"Petroff, Mr. Pastcho (""Pentcho"")",0,102,3,1,0,0.0,98,28.0,28.0,0,Petroff,-0.11652321631629182,-0.4908050163476765,1,1
0.0,D26,0,1.0,"White, Mr. Richard Frasar",1,103,1,1,0,0.0,99,21.0,21.0,0,White,-0.6591458263607518,0.8508302497947088,2,0
3.0,,0,2.0,"Johansson, Mr. Gustaf Joel",0,104,3,1,0,0.0,100,33.0,33.0,0,Johansson,0.2710643622868939,-0.4761419343675206,1,1
1.0,,0,2.0,"Gustafsson, Mr. Anders Vilhelm",0,105,3,1,2,0.0,101,37.0,37.0,0,Gustafsson,0.5811344251694425,-0.4902404567566684,3,0
2.0,,0,8.0,"Mionoff, Mr. Stoytcho",0,106,3,1,0,0.0,102,28.0,28.0,0,Mionoff,-0.11652321631629182,-0.4908050163476765,1,1
0.0,,0,11.0,"Salkjelsvik, Miss. Anna Kristine",0,107,3,0,0,1.0,103,21.0,21.0,1,Salkjelsvik,-0.6591458263607518,-0.4955573707130805,1,1
2.0,,0,11.0,"Moss, Mr. Albert Johan",0,108,3,1,0,1.0,104,28.0,28.0,0,Moss,-0.11652321631629182,-0.4931405916419841,1,1
1.0,,0,8.0,"Rekic, Mr. Tido",0,109,3,1,0,0.0,105,38.0,38.0,0,Rekic,0.6586519408900796,-0.4908050163476765,1,1
2.0,,2,4.0,"Moran, Miss. Bertha",0,110,3,0,1,1.0,106,28.0,28.0,1,Moran,-0.11652321631629182,-0.17654253332835926,2,0
7.0,C110,0,3.0,"Porter, Mr. Walter Chamberlain",0,111,1,1,0,0.0,107,47.0,47.0,0,Porter,1.356309582375814,0.36191584371191265,1,1
5.0,,1,9.0,"Zabour, Miss. Hileni",0,112,3,0,1,0.0,108,14.5,14.5,1,Zabour,-1.1630096785448933,-0.3640033854686489,2,0
0.0,,0,2.0,"Barton, Mr. David John",0,113,3,1,0,0.0,109,22.0,22.0,0,Barton,-0.5816283106401147,-0.48782367768557205,1,1
0.0,,0,5.0,"Jussila, Miss. Katriina",0,114,3,0,1,0.0,110,20.0,20.0,1,Jussila,-0.736663342081389,-0.45350541487600354,2,0
6.0,,1,7.0,"Attalah, Miss. Malake",0,115,3,0,0,0.0,111,17.0,17.0,1,Attalah,-0.9692158892433004,-0.3639241151151169,1,1
0.0,,0,2.0,"Pekoniemi, Mr. Edvard",0,116,3,1,0,0.0,112,21.0,21.0,0,Pekoniemi,-0.6591458263607518,-0.4902404567566684,1,1
4.0,,2,11.0,"Connors, Mr. Patrick",0,117,3,1,0,0.0,113,70.5,70.5,0,Connors,3.1779712018107866,-0.49362394745620336,1,1
8.0,,0,4.0,"Turpin, Mr. William John Robert",0,118,2,1,1,0.0,40,29.0,29.0,0,Turpin,-0.03900570059565468,-0.23744536591998783,2,0
9.0,B58 B60,1,10.0,"Baxter, Mr. Quigg Edmond",1,119,1,1,0,0.0,114,24.0,24.0,0,Baxter,-0.4265932791988404,4.14216046294407,2,0
5.0,,0,6.0,"Andersson, Miss. Ellis Anna Maria",2,120,3,0,4,0.0,13,2.0,2.0,1,Andersson,-2.1319786250528576,-0.038786126275866,7,0
0.0,,0,1.0,"Hickman, Mr. Stanley George",0,121,2,1,2,0.0,70,21.0,21.0,0,Hickman,-0.6591458263607518,0.7776018439404888,3,0
2.0,,0,2.0,"Moore, Mr. Leonard Charles",0,122,3,1,0,0.0,115,28.0,28.0,0,Moore,-0.11652321631629182,-0.48782367768557205,1,1
3.0,,1,6.0,"Nasser, Mr. Nicholas",0,123,2,1,1,0.0,9,32.5,32.5,0,Nasser,0.23230560442657533,-0.062068409135180025,2,0
3.0,E101,0,9.0,"Webber, Miss. Susan",0,124,2,0,0,1.0,116,32.5,32.5,1,Webber,0.23230560442657533,-0.3921192264701557,1,1
4.0,D26,0,1.0,"White, Mr. Percival Wayland",1,125,1,1,0,0.0,99,54.0,54.0,0,White,1.898932192420274,0.8508302497947088,2,0
5.0,,1,5.0,"Nicola-Yarred, Master. Elias",0,126,3,1,1,1.0,38,12.0,12.0,2,Nicola-Yarred,-1.3568034678464862,-0.42611460759582565,2,0
2.0,,2,11.0,"McMahon, Mr. Martin",0,127,3,1,0,0.0,117,28.0,28.0,0,McMahon,-0.11652321631629182,-0.49362394745620336,1,1
9.0,,0,0.0,"Madsen, Mr. Fridtjof Arne",0,128,3,1,0,1.0,118,24.0,24.0,0,Madsen,-0.4265932791988404,-0.5053849611277867,1,1
2.0,F E69,1,4.0,"Peter, Miss. Anna",1,129,3,0,1,1.0,119,28.0,28.0,1,Peter,-0.11652321631629182,-0.2111836778218262,3,0
7.0,,0,0.0,"Ekstrom, Mr. Johan",0,130,3,1,0,0.0,120,45.0,45.0,0,Ekstrom,1.2012745509345397,-0.5086079776970008,1,1
3.0,,1,8.0,"Drazenoic, Mr. Jozef",0,131,3,1,0,0.0,121,33.0,33.0,0,Drazenoic,0.2710643622868939,-0.4908050163476765,1,1
0.0,,0,0.0,"Coelho, Mr. Domingos Fernandeo",0,132,3,1,0,0.0,122,20.0,20.0,0,Coelho,-0.736663342081389,-0.507157910254343,1,1
7.0,,0,7.0,"Robins, Mrs. Alexander A (Grace Charity Laury)",0,133,3,0,1,0.0,123,47.0,47.0,1,Robins,1.356309582375814,-0.3631178776169992,2,0
8.0,,0,4.0,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",0,134,2,0,1,1.0,124,29.0,29.0,1,Weisz,-0.03900570059565468,-0.14077420307613292,2,0
9.0,,0,9.0,"Sobey, Mr. Samuel James Hayden",0,135,2,1,0,0.0,125,25.0,25.0,0,Sobey,-0.34907576347820324,-0.3921192264701557,1,1
9.0,,1,7.0,"Richard, Mr. Emile",0,136,2,1,0,0.0,126,23.0,23.0,0,Richard,-0.5041107949194775,-0.352565253480964,1,1
6.0,D47,0,6.0,"Newsom, Miss. Helen Monypeny",2,137,1,0,0,1.0,127,19.0,19.0,1,Newsom,-0.8141808578020261,-0.13529681498940008,3,0
1.0,C123,0,3.0,"Futrelle, Mr. Jacques Heath",0,138,1,1,1,0.0,3,37.0,37.0,0,Futrelle,0.5811344251694425,0.38318349953756076,2,0
6.0,,0,5.0,"Osen, Mr. Olaf Elon",0,139,3,1,0,0.0,128,16.0,16.0,0,Osen,-1.0467334049639376,-0.46526642854758693,1,1
9.0,B86,1,1.0,"Giglio, Mr. Victor",0,140,1,1,0,0.0,129,24.0,24.0,0,Giglio,-0.4265932791988404,0.8878069695824834,1,1
2.0,,1,7.0,"Boulos, Mrs. Joseph (Sultana)",2,141,3,0,0,0.0,130,28.0,28.0,1,Boulos,-0.11652321631629182,-0.34869840696720983,3,0
0.0,,0,11.0,"Nysten, Miss. Anna Sofia",0,142,3,0,0,1.0,131,22.0,22.0,1,Nysten,-0.5816283106401147,-0.49362394745620336,1,1
9.0,,0,7.0,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",0,143,3,0,1,1.0,132,24.0,24.0,1,Hakkarainen,-0.4265932791988404,-0.33701666364915833,2,0
6.0,,2,0.0,"Burke, Mr. Jeremiah",0,144,3,1,0,0.0,133,19.0,19.0,0,Burke,-0.8141808578020261,-0.5129581800249743,1,1
6.0,,0,5.0,"Andrew, Mr. Edgardo Samuel",0,145,2,1,0,0.0,134,18.0,18.0,0,Andrew,-0.8916983735226632,-0.42112057532331215,1,1
6.0,,0,3.0,"Nicholls, Mr. Joseph Charles",1,146,2,1,1,0.0,135,19.0,19.0,0,Nicholls,-0.8141808578020261,0.06706879703815516,3,0
2.0,,0,8.0,"Andersson, Mr. August Edvard (""Wennerstrom"")",0,147,3,1,0,1.0,136,27.0,27.0,0,Andersson,-0.19404073203692898,-0.49273843960455366,1,1
5.0,,0,3.0,"Ford, Miss. Robina Maggie ""Ruby""",2,148,3,0,2,0.0,84,9.0,9.0,1,Ford,-1.5893560150083976,0.02114999468732407,5,0
1.0,F2,0,4.0,"Navratil, Mr. Michel (""Louis M Hoffman"")",2,149,2,1,0,0.0,137,36.5,36.5,0,Navratil,0.5423756673091239,-0.14077420307613292,3,0
7.0,,0,9.0,"Byles, Rev. Thomas Roussel Davids",0,150,2,1,0,0.0,138,42.0,42.0,3,Byles,0.9687220037726282,-0.3921192264701557,1,1
4.0,,0,9.0,"Bateman, Rev. Robert James",0,151,2,1,0,0.0,139,51.0,51.0,3,Bateman,1.6663796452583626,-0.4013029869403219,1,1
0.0,C2,0,1.0,"Pears, Mrs. Thomas (Edith Wearne)",0,152,1,0,1,1.0,140,22.0,22.0,1,Pears,-0.5816283106401147,0.6441956392159689,2,0
4.0,,0,2.0,"Meo, Mr. Alfonzo",0,153,3,1,0,0.0,141,55.5,55.5,0,Meo,2.0152084660012295,-0.48782367768557205,1,1
1.0,,0,7.0,"van Billiard, Mr. Austin Blyler",2,154,3,1,0,0.0,142,40.5,40.5,0,van Billiard,0.8524457301916725,-0.3631178776169992,3,0
2.0,,0,11.0,"Olsen, Mr. Ole Martin",0,155,3,1,0,0.0,143,28.0,28.0,0,Olsen,-0.11652321631629182,-0.5020826742050406,1,1
4.0,,1,1.0,"Williams, Mr. Charles Duane",1,156,1,1,0,0.0,144,51.0,51.0,0,Williams,1.6663796452583626,0.5432554778209294,2,0
6.0,,2,11.0,"Gilnagh, Miss. Katherine ""Katie""",0,157,3,0,0,1.0,145,16.0,16.0,1,Gilnagh,-1.0467334049639376,-0.4939468291401018,1,1
8.0,,0,2.0,"Corn, Mr. Harry",0,158,3,1,0,0.0,146,30.0,30.0,0,Corn,0.03851181512498246,-0.48782367768557205,1,1
2.0,,0,2.0,"Smiljanic, Mr. Mile",0,159,3,1,0,0.0,147,28.0,28.0,0,Smiljanic,-0.11652321631629182,-0.4759814602371998,1,1
2.0,,0,1.0,"Sage, Master. Thomas Henry",2,160,3,1,8,0.0,148,28.0,28.0,2,Sage,-0.11652321631629182,0.7012316252938433,11,0
7.0,,0,7.0,"Cribb, Mr. John Hatfield",1,161,3,1,0,0.0,149,44.0,44.0,0,Cribb,1.1237570352139026,-0.3321831055069656,2,0
1.0,,0,7.0,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",0,162,2,0,0,1.0,150,40.0,40.0,1,Watt,0.8136869723313539,-0.3389500869060355,1,1
